0
is_retirement_age
life_Retirement
Gender
Age_Squared
Age
FamilyMembers
Wealth_log
Wealth_to_Income_log
Risk_Capacity_log
Wealth_Per_Family_Size_log
Investment_Capacity_log
Financial_Sophistication_Ratio
FinancialEducation_Squared
Education_Risk_Profile
risk_tolerance_log
Financial_Independence_Score_log
Retirement_Readiness_log
Life_Stage_Adjusted_Income_log
Wealth_Concentration_log
Age_Risk_Interaction
Wealth_Sqrt
Wealth
Financial_Independence_Score
Wealth_to_Income
Wealth_Per_Family_Size
Risk_Capacity
Retirement_Readiness
