,0
accuracy,0.9056603773584906
precision,0.9640287769784173
recall,0.8993288590604027
f1,0.9305555555056159
auc,0.9309683604985619
threshold,0.5444444444444444
test_size,212.0
positive_rate,0.7028301886792453
