,0
accuracy,0.8476190476190476
precision,0.9382022471910112
recall,0.759090909090909
f1,0.8391959798500542
auc,0.8590568181818183
threshold,0.4313131313131313
test_size,420.0
positive_rate,0.5238095238095238
